,patent_id,Grant-date,Appli-date,CPC,Inventor,Cited,Citing,year,month,month_year,Qt
9613871,20100190160,2010-07-29,2007-04-10,C07K 2319/60 20130101+C12N 2750/14143 20130101+C12N 15/907 20130101+C12N 15/86 20130101,3.0,,,2007,4,2007-04,2
9621372,20100197010,2010-08-05,2008-07-02,C12N 7/00 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/80 20130101+C12N 2710/24152 20130101,3.0,,,2008,7,2008-07,3
9626755,20100203632,2010-08-12,2008-01-24,C12N 5/0606 20130101+C12N 2501/40 20130101+C12N 2501/60 20130101+C12N 2330/10 20130101+C12N 15/907 20130101+C12N 2510/00 20130101+C12N 15/11 20130101+C12N 15/113 20130101+C12N 15/63 20130101+C12N 2501/065 20130101+C12N 5/16 20130101+C12N 15/85 20130101+C12N 15/86 20130101,1.0,,,2008,1,2008-01,1
9640036,20100218264,2010-08-26,2009-12-03,A01K 67/0275 20130101+C12N 2015/8527 20130101+A01K 67/0278 20130101+A01K 2217/15 20130101+A01K 2227/10 20130101+A01K 2227/105 20130101+A01K 2267/03 20130101+A01K 2267/0393 20130101+C07K 2319/00 20130101+C07K 2319/81 20130101+C12N 9/22 20130101+C12N 15/8509 20130101+C12N 2800/80 20130101+A01K 2217/054 20130101+C12N 15/1024 20130101+C12N 15/907 20130101+A01K 67/0276 20130101,3.0,,,2009,12,2009-12,4
9652584,20100229253,2010-09-09,2010-01-19,A01K 2217/05 20130101+C12N 15/907 20130101+C12N 9/22 20130101,4.0,,,2010,1,2010-01,1
9731184,20100304489,2010-12-02,2010-06-01,C12N 5/0696 20130101+C12N 15/873 20130101+C12N 15/907 20130101+C12N 2501/235 20130101+C12N 2510/00 20130101+C12N 2740/16043 20130101+C12N 15/85 20130101+C12N 2501/603 20130101+C12N 2501/604 20130101+C12N 2501/605 20130101+C12N 2501/606 20130101+C12N 2501/727 20130101+C12N 2501/602 20130101,2.0,,,2010,6,2010-06,2
9767058,20110008872,2011-01-13,2010-07-02,C12N 5/0018 20130101+C12N 5/0602 20130101+C12N 7/00 20130101+C12N 15/907 20130101+C12N 2510/02 20130101+C12N 2510/04 20130101+C12N 2710/24052 20130101+C12N 2710/24152 20130101+C12N 2800/80 20130101+C12N 2760/16152 20130101+C12N 2760/16252 20130101,3.0,,,2010,7,2010-07,3
9769606,20110008895,2011-01-13,2009-03-27,C12N 15/907 20130101+C12N 2800/30 20130101+C12N 2800/80 20130101+C12N 2830/42 20130101+C12N 9/22 20130101+C12N 15/907 20130101,3.0,,,2009,3,2009-03,1
9797868,20110041196,2011-02-17,2010-08-13,A01K 67/0275 20130101+A01K 2217/07 20130101+A01K 2217/206 20130101+A01K 2227/105 20130101+C12N 15/8509 20130101+C12N 9/1241 20130101+C12N 2800/30 20130101+C12N 2840/102 20130101+C12N 15/873 20130101+C12N 15/85 20130101+C12N 2800/22 20130101+C12N 15/907 20130101,4.0,,,2010,8,2010-08,3
9797875,20110041197,2011-02-17,2010-08-13,A01K 67/0275 20130101+A01K 2217/07 20130101+A01K 2217/206 20130101+A01K 2227/105 20130101+C12N 15/8509 20130101+C12N 9/1241 20130101+C12N 2800/30 20130101+C12N 2840/102 20130101+C12N 15/873 20130101+C12N 15/85 20130101+C12N 2800/22 20130101+C12N 15/907 20130101,4.0,,,2010,8,2010-08,3
9800250,20110047635,2011-02-24,2007-08-28,A01K 67/0275 20130101+C12N 15/90 20130101+C12N 15/907 20130101,4.0,,,2007,8,2007-08,3
9810767,20110054247,2011-03-03,2010-07-13,A01K 67/0273 20130101+A01K 67/0275 20130101+A01K 2217/052 20130101+A01K 2217/075 20130101+A01K 2217/206 20130101+A01K 2227/10 20130101+A01K 2267/0306 20130101+C07K 14/4712 20130101+C12N 15/8509 20130101+C12N 15/877 20130101+C12N 15/907 20130101+C12N 2799/025 20130101,8.0,,,2010,7,2010-07,3
9828055,20110070650,2011-03-24,2010-06-10,C07K 16/00 20130101+C07K 16/42 20130101+C07K 2317/21 20130101+C07K 2317/23 20130101+C07K 2317/565 20130101+C12N 15/907 20130101,3.0,,,2010,6,2010-06,2
9839290,20110082093,2011-04-07,2010-07-28,A61K 48/00 20130101+C07K 14/47 20130101+C07K 2319/00 20130101+A61K 38/1709 20130101+C07K 2319/81 20130101+C12N 15/907 20130101+A61K 38/00 20130101+C07K 2319/71 20130101,3.0,,,2010,7,2010-07,3
9843625,20110086905,2011-04-14,2010-04-01,A61K 48/005 20130101+C12N 15/907 20130101,1.0,,,2010,4,2010-04,2
9845387,20110086015,2011-04-14,2010-10-15,A61K 38/00 20130101+C07K 14/4702 20130101+C07K 14/4703 20130101+C12N 9/22 20130101+C12N 15/1082 20130101+C12N 2800/80 20130101+C12N 15/86 20130101+C12N 15/907 20130101+C12N 2799/02 20130101+C12N 2799/027 20130101+C07K 7/06 20130101,3.0,,,2010,10,2010-10,4
9863014,20110104799,2011-05-05,2010-10-29,A01K 2217/15 20130101+A01K 2217/20 20130101+C12N 9/00 20130101+C12N 15/907 20130101+C12N 2800/30 20130101+C12N 2800/60 20130101+C12N 2840/44 20130101,4.0,,,2010,10,2010-10,4
9863870,20110107445,2011-05-05,2009-03-25,A01K 67/0278 20130101+A01K 2207/15 20130101+A01K 2217/00 20130101+A01K 2217/07 20130101+A01K 2217/072 20130101+A01K 2217/15 20130101+A01K 2217/206 20130101+A01K 2227/105 20130101+A61K 49/0008 20130101+C12N 9/0077 20130101+C12N 15/86 20130101+C12N 15/907 20130101+C12N 2710/14143 20130101,2.0,,,2009,3,2009-03,1
9864501,20110104745,2011-05-05,2010-12-10,C12N 15/907 20130101+C12N 2800/108 20130101+C12N 2830/42 20130101+C12N 2840/20 20130101,2.0,,,2010,12,2010-12,4
9895232,20110136236,2011-06-09,2009-04-21,C12N 15/907 20130101+C12N 2800/30 20130101,3.0,,,2009,4,2009-04,2
9911172,20110151518,2011-06-23,2010-12-28,A01K 67/0271 20130101+A01K 67/0275 20130101+A01K 67/0276 20130101+A01K 67/0278 20130101+A01K 2207/15 20130101+A01K 2217/00 20130101+A01K 2217/05 20130101+A01K 2217/075 20130101+A01K 2227/105 20130101+A01K 2267/01 20130101+A01K 2267/03 20130101+C12N 15/85 20130101+C12N 15/8509 20130101+C12N 15/873 20130101+C12N 15/90 20130101+C12N 15/907 20130101+C12N 2800/30 20130101,6.0,,,2010,12,2010-12,4
9926495,20110171729,2011-07-14,2007-05-03,C12N 15/85 20130101+C12N 2740/13022 20130101+C12N 2510/02 20130101+C12N 15/907 20130101,2.0,,,2007,5,2007-05,2
9957947,20110201055,2011-08-18,2011-02-07,C12N 9/22 20130101+C07K 2319/50 20130101+C07K 2319/80 20130101+C12Y 301/21004 20130101+C07K 14/47 20130101+C07K 2319/81 20130101+C12N 15/907 20130101+C12N 15/85 20130101,2.0,,,2011,2,2011-02,1
9963881,20110207221,2011-08-25,2011-02-09,C07K 2319/80 20130101+C07K 2319/81 20130101+C12N 15/907 20130101+C12N 9/22 20130101,3.0,,,2011,2,2011-02,1
9964080,20110207211,2011-08-25,2010-12-09,C07K 14/52 20130101+C07K 2317/21 20130101+C12N 15/907 20130101+C07K 2319/30 20130101+C07K 2319/00 20130101,1.0,,,2010,12,2010-12,4
10016515,20110258710,2011-10-20,2011-06-07,A01K 67/0275 20130101+A01K 67/0278 20130101+A01K 2227/105 20130101+C07K 16/00 20130101+C07K 2317/56 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/204 20130101+C12N 15/67 20130101+C07K 16/462 20130101+C12N 15/85 20130101+C12P 21/00 20130101+C12N 15/8509 20130101+C07K 16/28 20130101+A01K 2217/05 20130101,2.0,,,2011,6,2011-06,2
10020503,20110265198,2011-10-27,2011-04-25,A61K 38/00 20130101+C07K 2319/81 20130101+C12N 9/22 20130101+A01K 67/0275 20130101+C12N 15/102 20130101+C12N 15/907 20130101+A01K 2207/05 20130101+A01K 2217/07 20130101+A01K 2227/105 20130101+A01K 2267/03 20130101,2.0,,,2011,4,2011-04,2
10029155,20110269174,2011-11-03,2011-06-15,C07K 16/18 20130101+G01N 33/5041 20130101+C12N 5/16 20130101+C07K 14/4702 20130101+C12Q 1/00 20130101+C12N 15/63 20130101+C07H 21/04 20130101+C12N 15/907 20130101,4.0,,,2011,6,2011-06,2
10032600,20110277047,2011-11-10,2011-04-06,A01K 67/0276 20130101+A01K 67/0278 20130101+A01K 2207/15 20130101+A01K 2217/00 20130101+A01K 2217/072 20130101+A01K 2217/075 20130101+C07K 2317/52 20130101+A01K 2267/01 20130101+C07K 16/461 20130101+C07K 2319/00 20130101+C12N 15/8509 20130101+C12N 15/907 20130101+C12N 2800/30 20130101+A01K 2227/105 20130101,1.0,,,2011,4,2011-04,2
10040413,20110281361,2011-11-17,2011-06-16,C12N 15/8213 20130101+C12N 15/63 20130101+C12N 15/907 20130101,4.0,,,2011,6,2011-06,2
10041188,20110283376,2011-11-17,2011-06-20,A01K 67/0275 20130101+A01K 67/0278 20130101+A01K 2227/105 20130101+C07K 16/00 20130101+C07K 2317/56 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/204 20130101+C12N 15/67 20130101+C07K 16/462 20130101+C12N 15/85 20130101+C12P 21/00 20130101+C12N 15/8509 20130101+C07K 16/28 20130101+A01K 2217/05 20130101,2.0,,,2011,6,2011-06,2
10046540,20110287545,2011-11-24,2011-07-08,C07K 2319/80 20130101+C07K 2319/81 20130101+C12N 15/907 20130101+C12N 9/22 20130101,3.0,,,2011,7,2011-07,3
10053108,20110294873,2011-12-01,2009-10-23,C07K 14/4702 20130101+C07K 14/7051 20130101+C07K 14/805 20130101+C12N 2830/40 20130101+C12N 15/86 20130101+C12N 15/907 20130101+C12N 2740/13043 20130101+C12N 15/85 20130101,3.0,,,2009,10,2009-10,4
10054691,20110294217,2011-12-01,2010-02-12,A61K 48/00 20130101+C12N 15/907 20130101+C12N 9/22 20130101+C07K 2319/60 20130101,2.0,,,2010,2,2010-02,1
10093461,20120017290,2012-01-19,2011-04-25,A61K 38/00 20130101+C07K 2319/81 20130101+C12N 9/22 20130101+A01K 67/0275 20130101+C12N 15/102 20130101+C12N 15/907 20130101+A01K 2207/05 20130101+A01K 2217/07 20130101+A01K 2227/105 20130101+A01K 2267/03 20130101,5.0,,,2011,4,2011-04,2
10096551,20120015421,2012-01-19,2011-09-26,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10096553,20120015406,2012-01-19,2011-09-26,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10102119,20120021520,2012-01-26,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10102121,20120021521,2012-01-26,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10102123,20120021465,2012-01-26,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10106724,20120027847,2012-02-02,2010-01-21,A61K 2035/126 20130101+C12N 15/88 20130101+C12N 15/90 20130101+C12N 2800/90 20130101+A61K 38/185 20130101+A61K 48/00 20130101+C12N 15/907 20130101+A61K 9/4816 20130101+A61K 9/4808 20130101+A61K 9/4866 20130101+A61K 38/22 20130101,2.0,,,2010,1,2010-01,1
10108984,20120030783,2012-02-02,2011-09-01,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10109145,20120028314,2012-02-02,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10109148,20120028315,2012-02-02,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10118529,20120042401,2012-02-16,2009-10-23,A01K 67/0275 20130101+A01K 2217/072 20130101+A01K 2227/105 20130101+A01K 2267/0306 20130101+C07K 14/705 20130101+C12N 15/8509 20130101+C12N 15/907 20130101+C12N 2800/107 20130101+C12N 2800/30 20130101,3.0,,,2009,10,2009-10,4
10120578,20120040405,2012-02-16,2011-09-26,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10120584,20120040406,2012-02-16,2011-09-27,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,9,2011-09,3
10136861,20120060230,2012-03-08,2011-07-21,C07K 14/70539 20130101+C07K 2319/81 20130101+C12N 2800/80 20130101+C12N 15/907 20130101+A61K 35/17 20130101,8.0,,,2011,7,2011-07,3
10152302,20120070877,2012-03-22,2011-12-01,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2011,12,2011-12,4
10175352,20120093790,2012-04-19,2011-12-21,A61K 35/28 20130101+A61K 35/34 20130101+A61K 35/39 20130101+C12N 2750/14151 20130101+C12N 5/0606 20130101+C12N 15/907 20130101+C12N 2510/00 20130101+C07K 14/70539 20130101,2.0,,,2011,12,2011-12,4
10186430,20120107286,2012-05-03,2010-03-24,C12N 5/0696 20130101+C12N 15/907 20130101+C12N 2510/00 20130101+C12N 2501/603 20130101+C12N 2501/605 20130101+C12N 2502/13 20130101+C12N 2800/00 20130101+C12N 15/79 20130101+C12N 5/0606 20130101+C12N 5/0619 20130101+C12N 5/0662 20130101+C12N 2800/108 20130101+C12N 5/0678 20130101+C12N 5/0623 20130101+C12N 2506/08 20130101,3.0,,,2010,3,2010-03,1
10221668,20120141441,2012-06-07,2011-12-02,A61K 48/005 20130101+C07K 14/4708 20130101+C12N 5/0696 20130101+C12N 9/00 20130101+C12N 9/22 20130101+C12N 15/907 20130101+C12N 2506/13 20130101+C12N 2501/603 20130101+C12N 2501/604 20130101+C12N 2501/606 20130101+C12N 2506/1384 20130101+C12N 2510/00 20130101+C12N 2501/602 20130101,9.0,,,2011,12,2011-12,4
10222349,20120142055,2012-06-07,2011-12-30,C07K 2319/81 20130101+C12N 2800/30 20130101+C12N 15/907 20130101+C12N 15/1082 20130101,5.0,,,2011,12,2011-12,4
10222352,20120142062,2012-06-07,2011-12-30,C12N 9/22 20130101+C07K 2319/50 20130101+C07K 2319/80 20130101+C12Y 301/21004 20130101+C07K 14/47 20130101+C07K 2319/81 20130101+C12N 15/907 20130101+C12N 15/85 20130101,2.0,,,2011,12,2011-12,4
10237796,20120156179,2012-06-21,2010-07-08,A61K 35/12 20130101+C12N 5/0635 20130101+C12N 5/0641 20130101+C12N 5/0645 20130101+C12N 2501/60 20130101+C12N 2510/00 20130101+C12N 5/0634 20130101+C12N 15/85 20130101+C12N 15/86 20130101+C07H 21/04 20130101+C12N 15/907 20130101+C12N 15/63 20130101+C12N 2517/02 20130101,1.0,,,2010,7,2010-07,3
10258236,20120177577,2012-07-12,2010-07-01,A01K 67/0276 20130101+A01K 2217/054 20130101+A01K 2217/15 20130101+A01K 2217/206 20130101+A01K 2227/105 20130101+A01K 2267/0331 20130101+C12N 15/907 20130101+C12N 9/1205 20130101+C12N 9/14 20130101+C12N 9/22 20130101+C12N 15/8509 20130101+C12N 15/87 20130101+A01K 2267/0387 20130101,3.0,,,2010,7,2010-07,3
10274597,20120196370,2012-08-02,2011-12-02,C12N 15/102 20130101+C12N 2800/80 20130101+C12N 15/907 20130101,2.0,,,2011,12,2011-12,4
10299471,20120222143,2012-08-30,2012-02-24,C12N 15/85 20130101+A01K 67/0276 20130101+A01K 2217/075 20130101+A01K 2227/101 20130101+C12N 15/907 20130101+A01K 67/0275 20130101+A01K 2227/108 20130101,2.0,,,2012,2,2012-02,1
10312698,20120231449,2012-09-13,2010-09-20,C12N 15/85 20130101+C12N 2830/46 20130101+C12N 15/907 20130101,6.0,,,2010,9,2010-09,3
10318549,20120238000,2012-09-20,2012-05-29,C12N 5/0018 20130101+C12N 5/0602 20130101+C12N 7/00 20130101+C12N 15/907 20130101+C12N 2510/02 20130101+C12N 2760/16252 20130101+C12N 2710/24052 20130101+C12N 2710/24152 20130101+C12N 2800/80 20130101+C12N 2760/16152 20130101+C12N 2510/04 20130101,3.0,,,2012,5,2012-05,2
10333093,20120252123,2012-10-04,2012-05-30,A61K 48/00 20130101+A61K 48/005 20130101+C07K 2319/81 20130101+C12N 9/22 20130101+C12N 15/113 20130101+C12N 15/85 20130101+C12N 15/907 20130101+C12N 2310/11 20130101+C12N 2330/10 20130101+C12N 2750/14143 20130101+C12N 15/86 20130101,2.0,,,2012,5,2012-05,2
10337955,20120258541,2012-10-11,2012-04-05,C12N 15/907 20130101+C12N 2320/32 20130101+C12N 2800/30 20130101+C12N 2800/107 20130101,4.0,,,2012,4,2012-04,2
10344313,20120264189,2012-10-18,2012-04-26,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2012,4,2012-04,2
10345874,20120266266,2012-10-18,2012-06-25,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2012,6,2012-06,2
10350335,20120270264,2012-10-25,2010-09-21,C07K 16/00 20130101+C12N 15/85 20130101+C12N 2830/85 20130101+C12P 21/02 20130101+C12N 15/907 20130101+C12N 2830/46 20130101,4.0,,,2010,9,2010-09,3
10356884,20120276537,2012-11-01,2010-10-28,A01K 67/0278 20130101+A01K 2217/072 20130101+A01K 2227/105 20130101+C12N 15/907 20130101+C12N 9/22 20130101+C12N 15/8509 20130101+A01K 2267/01 20130101,3.0,,,2010,10,2010-10,4
10433219,20130024959,2013-01-24,2010-11-24,A01K 67/0275 20130101+A01K 2217/072 20130101+C12N 15/907 20130101+C12N 15/8509 20130101+A01K 2267/0318 20130101,3.0,,,2010,11,2010-11,4
10444906,20130034875,2013-02-07,2012-04-06,C07K 16/00 20130101+C07K 16/40 20130101+C12P 21/02 20130101+C07K 2317/14 20130101+C12N 2830/46 20130101+C12N 15/907 20130101,5.0,,,2012,4,2012-04,2
10456799,20130045539,2013-02-21,2011-02-18,C12N 15/907 20130101+C12N 9/22 20130101,2.0,,,2011,2,2011-02,1
10471370,20130059388,2013-03-07,2011-04-13,C07K 14/4705 20130101+C07K 2319/60 20130101+C07K 2319/70 20130101+C07K 2319/72 20130101+G01N 33/582 20130101+C12N 15/907 20130101+G01N 33/5035 20130101+G01N 33/5041 20130101+C12N 2799/027 20130101,5.0,,,2011,4,2011-04,2
10471372,20130059362,2013-03-07,2011-04-13,C07K 14/4705 20130101+C07K 2319/60 20130101+C07K 2319/70 20130101+C07K 2319/72 20130101+G01N 33/582 20130101+C12N 15/907 20130101+G01N 33/5035 20130101+G01N 33/5041 20130101+C12N 2799/027 20130101,4.0,,,2011,4,2011-04,2
10477674,20130065310,2013-03-14,2011-04-13,C07K 14/4705 20130101+C07K 2319/60 20130101+C07K 2319/70 20130101+C07K 2319/72 20130101+G01N 33/582 20130101+C12N 15/907 20130101+G01N 33/5035 20130101+G01N 33/5041 20130101+C12N 2799/027 20130101,3.0,,,2011,4,2011-04,2
10481579,20130071881,2013-03-21,2010-11-18,C07K 16/462 20130101+C12N 2800/30 20130101+C12N 15/907 20130101+C12N 15/66 20130101,3.0,,,2010,11,2010-11,4
10507828,20130095565,2013-04-18,2012-12-03,A01K 67/0275 20130101+A01K 2217/07 20130101+A01K 2217/206 20130101+A01K 2227/105 20130101+C12N 15/8509 20130101+C12N 9/1241 20130101+C12N 2800/30 20130101+C12N 2840/102 20130101+C12N 15/873 20130101+C12N 15/85 20130101+C12N 2800/22 20130101+C12N 15/907 20130101,4.0,,,2012,12,2012-12,4
10509250,20130095557,2013-04-18,2011-06-29,C12N 7/00 20130101+C12N 15/907 20130101+C12N 2710/24052 20130101+C12N 2710/24152 20130101+C12N 15/00 20130101+C12N 5/0603 20130101+C12N 2760/16152 20130101+C12N 2760/16252 20130101+C12N 2800/80 20130101,3.0,,,2011,6,2011-06,2
10526362,20130117873,2013-05-09,2012-10-29,A01K 67/0278 20130101+C07K 14/5412 20130101+C07K 14/7155 20130101+A01K 2217/072 20130101+A01K 2217/15 20130101+C12N 15/907 20130101+A01K 2267/03 20130101+C07K 2319/00 20130101+A01K 2207/15 20130101+A01K 2227/10 20130101+A01K 2227/105 20130101,4.0,,,2012,10,2012-10,4
10532593,20130122591,2013-05-16,2012-10-25,C12N 9/96 20130101+C12N 15/907 20130101+C12N 15/85 20130101+C12Y 301/21004 20130101+C12Y 204/02008 20130101+C12N 9/22 20130101+C07K 2319/81 20130101+C12N 9/1077 20130101,9.0,,,2012,10,2012-10,4
10540357,20130133092,2013-05-23,2012-11-01,A61K 48/00 20130101+C12N 15/90 20130101+C12N 15/907 20130101+C12N 2800/30 20130101+C12N 15/902 20130101,3.0,,,2012,11,2012-11,4
10542188,20130130388,2013-05-23,2012-12-19,A01K 67/0275 20130101+A01K 67/0278 20130101+A01K 2227/105 20130101+C07K 16/00 20130101+C07K 2317/56 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/204 20130101+C12N 15/67 20130101+C07K 16/462 20130101+C12N 15/85 20130101+C12P 21/00 20130101+C12N 15/8509 20130101+C07K 16/28 20130101+A01K 2217/05 20130101,2.0,,,2012,12,2012-12,4
10547409,20130137104,2013-05-30,2012-10-25,C12N 9/96 20130101+C12N 15/907 20130101+C12N 15/85 20130101+C12Y 301/21004 20130101+C12Y 204/02008 20130101+C12N 9/22 20130101+C07K 2319/81 20130101+C12N 9/1077 20130101,9.0,,,2012,10,2012-10,4
10549196,20130137101,2013-05-30,2012-12-19,A01K 67/0275 20130101+A01K 2217/05 20130101+C12Q 1/6827 20130101+C12N 15/907 20130101+C12N 15/79 20130101+A01K 2227/105 20130101,5.0,,,2012,12,2012-12,4
10550430,20130137180,2013-05-30,2011-07-22,C12N 15/85 20130101+C12N 15/907 20130101+C12N 9/22 20130101,3.0,,,2011,7,2011-07,3
10552642,20130143204,2013-06-06,2011-01-13,C12Q 1/6827 20130101+C12Q 1/6858 20130101+C12Q 1/70 20130101+C12N 2740/15021 20130101+C12N 15/907 20130101+C12N 2740/15031 20130101+C12N 2740/15045 20130101+C12Q 1/686 20130101+C12Q 1/6827 20130101+C12Q 2521/301 20130101+C12Q 1/6858 20130101+C12Q 2521/301 20130101,7.0,,,2011,1,2011-01,1
10552756,20130145485,2013-06-06,2012-07-25,A61K 48/005 20130101+C12N 15/85 20130101+C12N 2800/30 20130101+C12N 5/0662 20130101+C12N 9/22 20130101+A61K 38/00 20130101+C07K 2319/81 20130101+A61K 48/00 20130101+C12N 2800/80 20130101+C12N 2015/8536 20130101+C12N 15/907 20130101,5.0,,,2012,7,2012-07,3
10581165,20130171124,2013-07-04,2012-07-25,A61K 38/164 20130101+C07K 2319/00 20130101+A61K 45/06 20130101+A61K 48/005 20130101+C07K 14/4703 20130101+C07K 14/4705 20130101+C12N 9/22 20130101+C12N 15/907 20130101+C07K 2319/70 20130101+C07K 2319/71 20130101+C07K 2319/80 20130101+C12N 2710/20011 20130101+C12N 2800/22 20130101+C12N 2999/007 20130101+A61K 38/465 20130101,8.0,,,2012,7,2012-07,3
10606239,20130196373,2013-08-01,2012-11-16,C07K 14/195 20130101+C12N 15/902 20130101+C12N 9/22 20130101+C12N 9/1007 20130101+C12N 5/0602 20130101+C12Y 301/21004 20130101+C12N 1/16 20130101+C12P 19/34 20130101+C12N 15/63 20130101+C12N 15/907 20130101+C07K 2319/80 20130101+C12N 5/04 20130101,7.0,,,2012,11,2012-11,4
10619707,20130212725,2013-08-15,2011-06-07,A01K 67/0278 20130101+A01K 2217/072 20130101+A01K 2227/105 20130101+A01K 2267/0393 20130101+C07K 2319/80 20130101+A01K 2267/03 20130101+A01K 67/0276 20130101+C12N 9/22 20130101+C12N 15/907 20130101+A01K 2207/05 20130101+A01K 2217/07 20130101+C12N 15/62 20130101,3.0,,,2011,6,2011-06,2
10619956,20130210137,2013-08-15,2012-12-19,A01K 67/0275 20130101+A01K 67/0278 20130101+A01K 2227/105 20130101+C07K 16/00 20130101+C07K 2317/56 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/204 20130101+C12N 15/67 20130101+C07K 16/462 20130101+C12N 15/85 20130101+C12P 21/00 20130101+C12N 15/8509 20130101+C07K 16/28 20130101+A01K 2217/05 20130101,2.0,,,2012,12,2012-12,4
10638051,20130227720,2013-08-29,2013-04-11,C12N 9/22 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 15/905 20130101+C12N 15/8213 20130101,3.0,,,2013,4,2013-04,2
10653491,20130244246,2013-09-19,2012-12-21,C12N 7/00 20130101+C12N 15/902 20130101+C12N 15/907 20130101+C12N 2800/80 20130101+C12N 2710/24152 20130101,3.0,,,2012,12,2012-12,4
10654491,20130244332,2013-09-19,2013-03-06,A61K 48/0008 20130101+A61K 48/005 20130101+A61K 48/0058 20130101+C07K 2319/00 20130101+C12N 15/907 20130101+C12N 9/22 20130101+C12N 15/62 20130101+C12N 15/90 20130101+C07K 2319/81 20130101,4.0,,,2013,3,2013-03,1
10657162,20130244907,2013-09-19,2011-11-17,C07K 16/00 20130101+C12N 5/163 20130101+C12N 15/907 20130101+C12N 15/85 20130101+C12N 15/1037 20130101,2.0,,,2011,11,2011-11,4
10665827,20130252830,2013-09-26,2011-11-25,C12N 15/85 20130101+C12N 15/11 20130101+C12N 15/907 20130101,2.0,,,2011,11,2011-11,4
10685312,20130273656,2013-10-17,2011-10-07,C12N 15/907 20130101+C12N 2750/14143 20130101+C12N 15/86 20130101+C12N 15/113 20130101,1.0,,,2011,10,2011-10,4
10685472,20130273556,2013-10-17,2011-11-04,C12N 15/907 20130101+C12N 15/113 20130101+C12N 9/00 20130101+A61K 48/0008 20130101+C12N 15/85 20130101,2.0,,,2011,11,2011-11,4
10690729,20130280222,2013-10-24,2013-03-15,C12N 15/85 20130101+C12N 9/22 20130101+C12N 15/907 20130101+C12N 2840/20 20130101+C07K 2319/80 20130101+C07K 2319/81 20130101+A01K 2207/12 20130101,6.0,,,2013,3,2013-03,1
10707412,20130295675,2013-11-07,2013-06-26,C12N 15/86 20130101+C12N 15/907 20130101+C12N 2710/24143 20130101+C12N 15/85 20130101+C12N 15/70 20130101+C12N 15/79 20130101+C12N 15/80 20130101+C12N 15/82 20130101+C12N 2800/40 20130101,5.0,,,2013,6,2013-06,2
10714705,20130302899,2013-11-14,2013-07-12,A01K 2217/15 20130101+A01K 2217/20 20130101+C12N 9/00 20130101+C12N 15/907 20130101+C12N 2800/30 20130101+C12N 2800/60 20130101+C12N 2840/44 20130101,4.0,,,2013,7,2013-07,3
10719727,20130309670,2013-11-21,2013-04-25,C12N 15/85 20130101+C12N 15/907 20130101+C12N 15/8509 20130101+C07K 14/7155 20130101,4.0,,,2013,4,2013-04,2
